EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
198500.600,207635.400,334684.100,341540.400,333514.100,76939.330,165512.400,76286.020,0.000
197232.100,206307.600,332845.600,339623.300,331674.100,76353.300,164321.000,75815.520,0.000
196064.200,205033.700,331024.800,337987.500,329851.600,75865.510,163243.300,75343.550,0.000
194948.300,203851.700,329274.700,336402.000,328105.400,75409.950,162266.900,74842.930,0.000
193807.700,202716.500,327570.900,334604.400,326409.600,74894.800,161299.200,74334.050,0.000
192582.700,201500.300,325825.300,332626.700,324668.800,74304.080,160212.000,73842.900,0.000
191287.300,200145.300,323997.200,330722.900,322840.100,73708.270,158981.800,73362.860,0.000
190027.800,198781.200,322161.400,329034.500,321003.100,73182.050,157772.600,72874.770,0.000
188900.000,197589.200,320419.700,327430.700,319264.900,72720.410,156769.400,72381.570,0.000
187850.200,196543.700,318759.400,325696.800,317611.800,72244.090,155915.700,71899.380,0.000
186708.100,195408.200,317058.500,323803.000,315915.600,71691.590,154936.300,71425.250,0.000
185403.900,194045.300,315247.400,321921.300,314104.500,71094.520,153691.800,70939.970,0.000
184088.200,192629.500,313411.200,320197.500,312267.700,70543.200,152401.500,70442.420,0.000
181671.300,189890.800,311541.600,318439.000,310401.600,69964.880,148715.800,69937.300,0.000
176790.500,184243.700,309498.900,316339.900,308365.500,69071.140,139999.700,69364.430,0.000
170577.600,177100.100,307314.800,313999.700,306186.400,67660.030,129149.300,68616.630,0.000
164687.700,170435.100,305104.400,311725.100,303977.300,65938.980,119716.800,67733.340,0.000
160131.100,165328.600,303008.600,309710.100,301881.800,64575.560,112867.400,66975.590,0.000
157826.400,162770.000,301198.500,307985.500,300074.700,64044.360,109570.700,66528.750,0.000
157402.100,162368.600,299644.600,306389.400,298526.000,64001.540,109366.100,66254.160,0.000
157180.700,162254.700,298095.900,304717.900,296981.300,63713.500,109872.200,65870.050,0.000
155844.700,160905.400,296359.600,302924.300,295246.100,62919.730,108877.300,65286.240,0.000
153742.300,158657.400,294518.600,301137.200,293405.800,62045.940,106510.200,64679.880,0.000
152115.900,156908.000,292791.800,299472.700,291681.800,61548.010,104569.100,64228.900,0.000
