EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
481314.100,491135.700,708486.300,708612.600,708414.400,243493.400,419779.200,221207.600,0.000
