timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681374982.8415904,228912.984375,643453.8125,710746.0625,493329.65625,710683.5,711073.9375,710941.625,257797.703125,0.0
1681374982.8453195,229294.75,644884.9375,710798.5625,493555.96875,710735.6875,711126.5,710994.125,258251.796875,0.0
1681374982.8453312,228677.9375,644706.5,710773.8125,493248.75,710710.75,711101.8125,710969.125,258203.078125,0.0
1681374982.8453372,227324.671875,642251.6875,710659.6875,492497.375,710596.6875,710987.6875,710855.0625,257402.796875,0.0
1681374982.8478208,227645.546875,641354.0,710655.0625,492612.4375,710591.9375,710983.125,710850.3125,257195.09375,0.0
1681374982.8520231,228861.75,643015.8125,710740.625,493173.84375,710677.4375,711068.375,710935.6875,257720.71875,0.0
1681374982.8520534,229262.65625,644470.375,710794.0625,493405.21875,710731.25,711122.1875,710989.1875,258186.890625,0.0
1681374982.8520577,228657.90625,644326.25,710772.625,493105.53125,710709.625,711100.375,710967.5625,258154.609375,0.0
1681374982.852062,227287.65625,641867.5,710657.3125,492352.4375,710594.375,710984.8125,710852.3125,257348.609375,0.0
1681374982.8540227,227593.703125,640933.0,710648.5625,492473.875,710585.6875,710976.1875,710844.0,257126.609375,0.0
1681374982.8565273,228823.671875,642604.375,710740.25,493058.75,710677.4375,711067.9375,710935.6875,257663.953125,0.0
1681374982.8595643,229230.65625,644072.1875,710797.9375,493296.21875,710735.0,711126.0,710993.375,258134.671875,0.0
1681374982.8595915,228629.65625,643941.1875,710778.6875,492996.09375,710715.6875,711106.375,710973.875,258103.109375,0.0
1681374982.8640327,227257.625,641492.5625,710663.375,492234.4375,710600.4375,710990.8125,710858.5625,257298.0,0.0
1681374982.8691201,227554.265625,640550.3125,710655.9375,492336.0,710593.1875,710983.375,710851.25,257079.3125,0.0
1681374982.8765745,228777.09375,642206.625,710744.1875,492900.0625,710681.5,711071.6875,710939.5625,257606.453125,0.0
1681374982.8790598,229185.953125,643677.3125,710802.0625,493134.21875,710739.125,711129.625,710997.0625,258073.34375,0.0
1681374982.881501,228596.21875,643560.3125,710782.125,492835.6875,710719.0,711109.5,710976.9375,258047.859375,0.0
1681374982.8896277,227237.765625,641144.0625,710667.3125,492082.25,710603.9375,710994.375,710861.5,257258.046875,0.0
1681374982.8896685,227512.34375,640182.25,710659.5625,492173.90625,710596.0625,710986.75,710854.25,257023.703125,0.0
1681374982.891498,228728.1875,641826.8125,710744.625,492736.625,710682.0,711073.0625,710940.0625,257538.953125,0.0
1681374982.896531,229146.515625,643305.25,710802.375,492977.65625,710739.625,711130.4375,710997.75,258008.515625,0.0
1681374982.8990114,228564.296875,643201.6875,710783.625,492693.1875,710721.0625,711111.1875,710978.8125,257987.609375,0.0
1681374982.9014919,227202.90625,640787.5,710669.5625,491949.21875,710606.6875,710996.875,710864.25,257200.828125,0.0
1681374982.903994,227463.96875,639806.75,710658.1875,492040.40625,710594.6875,710985.6875,710852.9375,256961.03125,0.0
1681374982.9070983,228680.53125,641440.0,710743.875,492605.65625,710680.8125,711071.25,710939.0,257477.359375,0.0
1681374982.907111,229111.296875,642930.25,710804.125,492851.875,710741.0625,711131.75,710999.0,257958.015625,0.0
1681374982.908987,228533.546875,642841.375,710784.375,492566.21875,710721.0625,711112.0,710979.0,257937.71875,0.0
1681374982.912757,227162.21875,640426.3125,710668.5625,491812.96875,710605.5,710996.3125,710863.5,257146.8125,0.0
1681374982.9221108,227416.140625,639421.8125,710655.9375,491896.375,710592.6875,710983.375,710850.75,256906.140625,0.0
1681374982.9221318,228642.359375,641055.9375,710745.1875,492462.875,710682.0625,711072.5625,710939.8125,257430.59375,0.0
1681374982.9296172,229072.84375,642547.9375,710805.25,492706.40625,710742.3125,711132.75,711000.0,257907.765625,0.0
1681374982.92966,228508.421875,642477.0625,710785.9375,492431.40625,710722.75,711113.5625,710980.6875,257902.84375,0.0
1681374982.9359057,227134.5,640059.0625,710669.625,491673.5,710606.25,710997.25,710864.25,257111.765625,0.0
